"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"17/04/2009","4.092,80","4.053,00","4.114,30","4.043,20","","0,98%"
"16/04/2009","4.053,00","3.968,40","4.053,00","3.963,60","","2,13%"
"15/04/2009","3.968,40","3.989,00","4.023,40","3.941,60","","-0,52%"
"14/04/2009","3.989,00","3.983,70","4.039,70","3.939,60","","0,13%"
"09/04/2009","3.983,70","3.925,50","3.986,30","3.912,00","","1,48%"
"08/04/2009","3.925,50","3.930,50","3.940,40","3.876,10","","-0,13%"
"07/04/2009","3.930,50","3.993,50","4.039,50","3.909,90","","-1,58%"
"06/04/2009","3.993,50","4.029,70","4.097,20","3.959,60","","-0,90%"
"03/04/2009","4.029,70","4.125,00","4.132,90","4.015,60","","-2,31%"
"02/04/2009","4.125,00","3.955,60","4.137,90","3.955,60","","4,28%"
"01/04/2009","3.955,60","3.926,10","3.972,70","3.838,20","","0,75%"
"31/03/2009","3.926,10","3.762,90","3.930,60","3.762,90","","4,34%"
"30/03/2009","3.762,90","3.898,90","3.898,90","3.762,90","","-3,49%"
"27/03/2009","3.898,90","3.925,20","3.950,30","3.877,60","","-0,67%"
"26/03/2009","3.925,20","3.900,30","3.929,50","3.877,80","","0,64%"
"25/03/2009","3.900,30","3.911,50","3.939,20","3.853,00","","-0,29%"
"24/03/2009","3.911,50","3.952,80","3.992,40","3.878,40","","-1,04%"
"23/03/2009","3.952,80","3.842,90","3.978,60","3.842,90","","2,86%"
"20/03/2009","3.842,90","3.816,90","3.854,90","3.777,70","","0,68%"
"19/03/2009","3.816,90","3.805,00","3.912,60","3.793,70","","0,31%"
"18/03/2009","3.805,00","3.857,10","3.901,60","3.768,50","","-1,35%"
"17/03/2009","3.857,10","3.864,00","3.864,00","3.793,10","","-0,18%"
"16/03/2009","3.864,00","3.753,70","3.864,00","3.753,70","","2,94%"
"13/03/2009","3.753,70","3.712,10","3.816,00","3.712,10","","1,12%"
"12/03/2009","3.712,10","3.693,80","3.725,60","3.616,50","","0,50%"
"11/03/2009","3.693,80","3.715,20","3.763,20","3.652,00","","-0,58%"
"10/03/2009","3.715,20","3.542,40","3.726,30","3.516,30","","4,88%"
"09/03/2009","3.542,40","3.530,70","3.564,80","3.460,70","","0,33%"
"06/03/2009","3.530,70","3.529,90","3.590,20","3.492,10","","0,02%"
"05/03/2009","3.529,90","3.645,90","3.645,90","3.526,40","","-3,18%"
"04/03/2009","3.645,90","3.512,10","3.649,50","3.512,10","","3,81%"
"03/03/2009","3.512,10","3.625,80","3.676,90","3.497,30","","-3,14%"
"02/03/2009","3.625,80","3.830,10","3.830,10","3.625,80","","-5,33%"
"27/02/2009","3.830,10","3.915,60","3.915,60","3.760,70","","-2,18%"
